time,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual
2019-01-01 00:00:00+01:00,286,0.0,0.0,5601,1919,158,0.0,0.0,0.0,,107.0,983,1683,0.0,6073,61,89,31,287,0.0,3809,20,,3290,23755,23401,66.88,71.62
2019-01-01 01:00:00+01:00,296,0.0,0.0,5573,1707,156,0.0,0.0,0.0,,60.0,969,1676,0.0,6072,60,90,31,286,0.0,3774,15,,3218,22962,22699,66.88,71.78
2019-01-01 02:00:00+01:00,298,0.0,0.0,5549,1638,155,0.0,0.0,0.0,,499.0,907,1124,0.0,6073,60,88,23,287,0.0,3740,13,,3106,21796,21336,66.0,71.92
2019-01-01 03:00:00+01:00,296,0.0,0.0,6036,1516,160,0.0,0.0,0.0,,1238.0,897,830,0.0,6073,60,88,15,288,0.0,3697,13,,3027,20596,20184,63.64,69.37
2019-01-01 04:00:00+01:00,295,0.0,0.0,5999,1486,176,0.0,0.0,0.0,,1317.0,910,944,0.0,6073,60,88,15,289,0.0,3516,13,,2960,19803,19430,58.85,66.36
2019-01-01 05:00:00+01:00,292,0.0,0.0,5913,1488,178,0.0,0.0,0.0,,1317.0,912,898,0.0,6074,61,87,15,288,0.0,3384,12,,2933,19547,19161,55.47,63.28
2019-01-01 06:00:00+01:00,297,0.0,0.0,5925,1495,184,0.0,0.0,0.0,,906.0,932,722,0.0,6072,61,87,15,288,0.0,3367,12,,2914,19856,19342,56.0,64.07
2019-01-01 07:00:00+01:00,294,0.0,0.0,5974,1425,188,0.0,0.0,0.0,,846.0,930,649,0.0,6073,61,89,15,284,0.0,3346,14,,2718,20258,19794,61.09,68.03
2019-01-01 08:00:00+01:00,294,0.0,0.0,5560,1456,189,0.0,0.0,0.0,,403.0,920,689,0.0,6073,61,87,39,286,0.0,3345,87,,2548,20011,19726,61.01,68.88
2019-01-01 09:00:00+01:00,291,0.0,0.0,5735,1439,188,0.0,0.0,0.0,,533.0,919,720,0.0,6072,62,87,777,286,0.0,3154,754,,2292,20663,20386,61.0,68.45
2019-01-01 10:00:00+01:00,293,0.0,0.0,6192,1465,189,0.0,0.0,0.0,,560.0,926,987,0.0,6072,62,89,2084,286,0.0,2547,1970,,1952,21482,22053,63.0,69.31
